kernel_id,task,context_regime,scenario,probability,latency_ms_per_instance,bound_type,expected_latency_ms_per_instance,expected_total_latency_ms_all_instances
A.local_attn_layer.attention,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,55.835,bandwidth,31.783,1239.5
A.local_attn_layer.out_proj,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,8.9335,compute,8.9335,348.41
A.local_attn_layer.out_proj,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,8.9335,compute,8.9335,348.41
A.local_attn_layer.rmsnorm_ffn,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.54527,bandwidth,0.807,31.473
A.local_attn_layer.rmsnorm_ffn,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,1.4177,bandwidth,0.807,31.473
A.local_attn_layer.ffn_gate_up,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,87.102,compute,87.102,3397
A.local_attn_layer.ffn_gate_up,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,87.102,compute,87.102,3397
A.local_attn_layer.swiglu_act,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,2.4537,bandwidth,3.6314,141.63
A.local_attn_layer.swiglu_act,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,6.3795,bandwidth,3.6314,141.63
A.local_attn_layer.ffn_down,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,43.551,compute,43.551,1698.5
A.local_attn_layer.ffn_down,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,43.551,compute,43.551,1698.5
A.global_attn_layer.rmsnorm_attn,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.54527,bandwidth,0.807,10.491
A.global_attn_layer.rmsnorm_attn,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,1.4177,bandwidth,0.807,10.491
A.global_attn_layer.qkv_proj,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,10.05,compute,10.05,130.65
A.global_attn_layer.qkv_proj,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,10.05,compute,10.05,130.65
A.global_attn_layer.attention,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,343.6,bandwidth,508.52,6610.8
A.global_attn_layer.attention,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,893.35,bandwidth,508.52,6610.8
A.global_attn_layer.out_proj,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,8.9335,compute,8.9335,116.14
A.global_attn_layer.out_proj,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,8.9335,compute,8.9335,116.14
A.global_attn_layer.rmsnorm_ffn,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.54527,bandwidth,0.807,10.491
A.global_attn_layer.rmsnorm_ffn,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,1.4177,bandwidth,0.807,10.491
A.global_attn_layer.ffn_gate_up,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,87.102,compute,87.102,1132.3
A.global_attn_layer.ffn_gate_up,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,87.102,compute,87.102,1132.3
A.global_attn_layer.swiglu_act,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,2.4537,bandwidth,3.6314,47.209
A.global_attn_layer.swiglu_act,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,6.3795,bandwidth,3.6314,47.209
A.global_attn_layer.ffn_down,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,43.551,compute,43.551,566.16
A.global_attn_layer.ffn_down,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,43.551,compute,43.551,566.16
A.final_norm,A,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.54527,bandwidth,0.807,0.807
A.final_norm,A,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,1.4177,bandwidth,0.807,0.807
B.draft_layer.qkv_proj,B,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.051134,bandwidth,0.075678,6.0543
B.draft_layer.qkv_proj,B,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.13295,bandwidth,0.075678,6.0543
B.draft_layer.attention,B,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.00065536,bandwidth,0.00096993,0.077595
B.draft_layer.attention,B,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.0017039,bandwidth,0.00096993,0.077595
B.draft_layer.out_proj,B,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.034092,bandwidth,0.050456,4.0365
B.draft_layer.out_proj,B,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.08864,bandwidth,0.050456,4.0365
B.draft_layer.ffn,B,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0,bandwidth (compute FLOPs unresolved),0,0
B.draft_layer.ffn,B,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0,bandwidth (compute FLOPs unresolved),0,0
B.embed_lookup,B,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,1.664e-05,bandwidth,2.4627e-05,0.00039404
B.embed_lookup,B,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,4.3264e-05,bandwidth,2.4627e-05,0.00039404
B.lm_head,B,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,1.0673,bandwidth,1.5795,25.273
B.lm_head,B,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,2.7749,bandwidth,1.5795,25.273
C.local_attn_layer.rmsnorm_attn,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.00027456,bandwidth,0.00040635,0.015848
C.local_attn_layer.rmsnorm_attn,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.00071386,bandwidth,0.00040635,0.015848
C.local_attn_layer.qkv_proj,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.038564,bandwidth,0.057074,2.2259
C.local_attn_layer.qkv_proj,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.10027,bandwidth,0.057074,2.2259
C.local_attn_layer.attention,C,long_agent_L32768,uncontended: exclusive HBM channel / NoC link access,0.70,0.0026844,compute,0.0026844,0.10469
C.local_attn_layer.attention,C,long_agent_L32768,contended: sibling chiplet sharing the same HBM channel or NoC link,0.30,0.0026844,compute,0.0026844,0.10469
